iter	Passed	Remaining
1121	13415	106153
1122	13426	106133
1123	13437	106114
1124	13449	106099
1125	13454	106038
1126	13464	106008
1127	13475	105986
1128	13486	105970
1129	13497	105950
1130	13507	105922
1131	13518	105900
1132	13527	105866
1133	13537	105838
1134	13547	105810
1135	13558	105793
1136	13569	105774
1137	13579	105751
1138	13586	105701
1139	13601	105706
1140	13613	105702
1141	13625	105685
1142	13635	105662
1143	13646	105637
1144	13656	105617
1145	13667	105596
1146	13678	105574
1147	13689	105559
1148	13699	105532
1149	13709	105501
1150	13718	105466
1151	13728	105445
1152	13739	105422
1153	13750	105406
1154	13762	105389
1155	13775	105391
1156	13786	105373
1157	13802	105391
1158	13815	105387
1159	13827	105372
1160	13838	105356
1161	13849	105340
1162	13859	105309
1163	13869	105282
1164	13880	105264
1165	13890	105242
1166	13901	105219
1167	13913	105206
1168	13923	105181
1169	13933	105159
1170	13944	105138
1171	13950	105079
1172	13960	105054
1173	13971	105037
1174	13981	105009
1175	13996	105019
1176	14008	105009
1177	14017	104978
1178	14028	104959
1179	14039	104936
1180	14049	104913
1181	14059	104885
1182	14069	104862
1183	14080	104839
1184	14090	104818
1185	14096	104760
1186	14106	104734
1187	14117	104717
1188	14127	104693
1189	14138	104669
1190	14147	104641
1191	14158	104623
1192	14169	104601
1193	14180	104582
1194	14191	104562
1195	14202	104549
1196	14215	104543
1197	14226	104527
1198	14237	104508
1199	14248	104490
1200	14259	104469
1201	14269	104448
1202	14280	104430
1203	14291	104406
1204	14301	104380
1205	14311	104354
1206	14321	104333
1207	14332	104310
1208	14343	104295
1209	14353	104270
1210	14363	104247
1211	14374	104229
1212	14384	104204
1213	14395	104185
1214	14409	104185
1215	14417	104144
1216	14428	104131
1217	14439	104112
1218	14449	104088
1219	14460	104069
1220	14470	104045
1221	14480	104019
1222	14490	103990
1223	14499	103958
1224	14509	103936
1225	14519	103912
1226	14530	103891
1227	14540	103870
1228	14550	103845
1229	14561	103826
1230	14571	103802
1231	14581	103774
1232	14591	103753
1233	14601	103727
1234	14613	103712
1235	14626	103711
1236	14640	103712
1237	14651	103698
1238	14661	103674
1239	14673	103661
1240	14683	103636
1241	14694	103616
1242	14699	103561
1243	14710	103540
1244	14720	103519
1245	14726	103464
1246	14736	103439
1247	14747	103419
1248	14757	103395
1249	14768	103378
1250	14774	103326
1251	14784	103304
1252	14795	103285
1253	14806	103269
1254	14812	103218
1255	14826	103219
1256	14838	103208
1257	14849	103190
1258	14855	103136
1259	14866	103120
1260	14876	103098
1261	14888	103085
1262	14898	103065
1263	14910	103049
1264	14920	103029
1265	14926	102974
1266	14936	102952
1267	14946	102928
1268	14957	102909
1269	14967	102887
1270	14977	102864
1271	14988	102845
1272	14999	102826
1273	15009	102802
1274	15016	102760
1275	15029	102759
1276	15041	102748
1277	15053	102733
1278	15064	102720
1279	15076	102708
1280	15082	102655
1281	15087	102601
1282	15098	102579
1283	15103	102526
1284	15115	102511
1285	15124	102487
1286	15135	102469
1287	15148	102465
1288	15159	102445
1289	15173	102447
1290	15184	102430
1291	15195	102413
1292	15201	102363
1293	15212	102346
1294	15225	102344
1295	15287	102671
1296	15314	102759
1297	15331	102782
1298	15346	102797
1299	15361	102806
1300	15375	102805
1301	15381	102755
1302	15396	102767
1303	15407	102748
1304	15419	102740
1305	15435	102751
1306	15451	102771
1307	15468	102790
1308	15482	102794
1309	15499	102814
1310	15514	102829
1311	15529	102838
1312	15545	102848
1313	15550	102795
1314	15565	102805
1315	15580	102814
1316	15596	102827
1317	15611	102839
1318	15630	102869
1319	15647	102892
1320	15656	102864
1321	15669	102861
1322	15687	102887
1323	15700	102884
1324	15710	102861
1325	15720	102837
1326	15732	102822
1327	15743	102806
1328	15753	102783
1329	15764	102764
1330	15773	102738
1331	15784	102716
1332	15794	102692
1333	15804	102671
1334	15815	102655
1335	15821	102602
1336	15832	102583
1337	15846	102590
1338	15859	102581
1339	15865	102532
1340	15875	102512
1341	15886	102493
1342	15897	102473
1343	15908	102455
1344	15918	102434
1345	15928	102411
1346	15938	102385
1347	15947	102360
1348	15958	102339
1349	15969	102321
1350	15979	102299
1351	15989	102277
1352	16000	102260
1353	16011	102240
1354	16022	102221
1355	16027	102170
1356	16040	102165
1357	16054	102168
1358	16064	102144
1359	16075	102124
1360	16080	102073
1361	16091	102051
1362	16101	102028
1363	16111	102008
1364	16122	101988
1365	16132	101969
1366	16142	101947
1367	16148	101895
1368	16159	101879
1369	16169	101856
1370	16180	101836
1371	16189	101811
1372	16200	101793
1373	16210	101767
1374	16220	101745
1375	16230	101726
1376	16242	101710
1377	16255	101708
1378	16263	101673
1379	16273	101652
1380	16285	101642
1381	16297	101628
1382	16308	101611
1383	16319	101595
1384	16325	101546
1385	16336	101533
1386	16348	101519
1387	16358	101495
1388	16363	101446
1389	16374	101426
1390	16385	101409
1391	16395	101386
1392	16405	101362
1393	16410	101312
1394	16420	101288
1395	16430	101268
1396	16439	101236
1397	16450	101218
1398	16459	101192
1399	16472	101190
1400	16485	101184
1401	16495	101164
1402	16507	101150
1403	16520	101143
1404	16531	101130
1405	16541	101107
1406	16551	101088
1407	16561	101064
1408	16571	101042
1409	16582	101023
1410	16593	101008
1411	16604	100988
1412	16615	100971
1413	16625	100951
1414	16630	100902
1415	16641	100881
1416	16651	100862
1417	16662	100845
1418	16675	100839
1419	16687	100829
1420	16693	100780
1421	16703	100764
1422	16714	100746
1423	16724	100723
1424	16734	100703
1425	16745	100683
1426	16756	100667
1427	16766	100645
1428	16775	100619
1429	16787	100606
1430	16796	100580
1431	16807	100562
1432	16817	100538
1433	16827	100519
1434	16837	100497
1435	16843	100449
1436	16853	100430
1437	16865	100418
1438	16879	100418
1439	16891	100409
1440	16901	100389
1441	16912	100372
1442	16922	100350
1443	16933	100332
1444	16944	100319
1445	16955	100299
1446	16966	100284
1447	16976	100266
1448	16986	100242
1449	16992	100198
1450	17003	100182
1451	17009	100134
1452	17020	100121
1453	17032	100107
1454	17041	100083
1455	17052	100068
1456	17061	100041
1457	17072	100022
1458	17085	100020
1459	17098	100016
1460	17109	99998
1461	17121	99989
1462	17131	99969
1463	17141	99948
1464	17152	99929
1465	17163	99914
1466	17173	99894
1467	17183	99870
1468	17193	99850
1469	17203	99829
1470	17214	99809
1471	17224	99791
1472	17230	99745
1473	17241	99730
1474	17252	99714
1475	17258	99668
1476	17269	99652
1477	17279	99634
1478	17292	99625
1479	17304	99616
1480	17318	99616
1481	17330	99606
1482	17340	99590
1483	17351	99571
1484	17361	99551
1485	17372	99536
1486	17384	99522
1487	17394	99502
1488	17403	99475
1489	17414	99460
1490	17424	99442
1491	17434	99420
1492	17446	99407
1493	17456	99386
1494	17466	99367
1495	17476	99347
1496	17482	99301
1497	17494	99292
1498	17509	99296
1499	17519	99279
1500	17529	99258
1501	17539	99237
1502	17551	99225
1503	17561	99203
1504	17571	99183
1505	17583	99170
1506	17593	99152
1507	17604	99136
1508	17614	99114
1509	17624	99094
1510	17634	99074
1511	17645	99055
1512	17655	99035
1513	17665	99018
1514	17677	99003
1515	17687	98982
1516	17697	98963
1517	17710	98957
1518	17725	98963
1519	17736	98949
1520	17746	98930
1521	17757	98915
1522	17768	98900
1523	17779	98885
1524	17789	98862
1525	17798	98838
1526	17809	98823
1527	17820	98806
1528	17831	98788
1529	17841	98770
1530	17851	98747
1531	17861	98726
1532	17871	98706
1533	17882	98693
1534	17894	98681
1535	17905	98664
1536	17914	98643
1537	17921	98603
1538	17934	98600
1539	17946	98589
1540	17958	98578
1541	17968	98559
1542	17979	98541
1543	17989	98522
1544	17999	98503
1545	18009	98481
1546	18019	98460
1547	18024	98415
1548	18034	98394
1549	18044	98373
1550	18054	98353
1551	18065	98335
1552	18075	98317
1553	18086	98299
1554	18096	98280
1555	18107	98262
1556	18116	98240
1557	18130	98241
1558	18143	98237
1559	18151	98205
1560	18161	98183
1561	18172	98168
1562	18182	98148
1563	18193	98133
1564	18203	98110
1565	18213	98091
1566	18221	98063
1567	18231	98042
1568	18240	98017
1569	18251	97999
1570	18261	97978
1571	18266	97933
1572	18276	97914
1573	18286	97893
1574	18296	97870
1575	18306	97852
1576	18317	97835
1577	18327	97815
1578	18341	97815
1579	18355	97817
1580	18366	97802
1581	18377	97787
1582	18382	97743
1583	18393	97725
1584	18403	97706
1585	18414	97691
1586	18423	97667
1587	18433	97647
1588	18443	97628
1589	18454	97611
1590	18464	97592
1591	18474	97573
1592	18485	97557
1593	18495	97538
1594	18505	97518
1595	18516	97502
1596	18528	97494
1597	18540	97483
1598	18552	97474
1599	18566	97475
1600	18578	97463
1601	18589	97448
1602	18599	97430
1603	18609	97412
1604	18619	97391
1605	18625	97349
1606	18635	97328
1607	18647	97318
1608	18657	97297
1609	18667	97277
1610	18676	97253
1611	18685	97228
1612	18695	97207
1613	18700	97164
1614	18711	97146
1615	18721	97130
1616	18730	97105
1617	18736	97064
1618	18747	97047
1619	18757	97027
1620	18771	97028
1621	18786	97034
1622	18797	97023
1623	18808	97006
1624	18818	96990
1625	18825	96951
1626	18835	96933
1627	18845	96912
1628	18855	96894
1629	18866	96877
1630	18877	96863
1631	18888	96849
1632	18898	96832
1633	18909	96815
1634	18920	96800
1635	18926	96763
1636	18932	96721
1637	18942	96700
1638	18952	96680
1639	18962	96662
1640	18973	96647
1641	18987	96646
1642	18999	96642
1643	19011	96632
1644	19023	96619
1645	19034	96604
1646	19043	96583
1647	19053	96562
1648	19063	96544
1649	19073	96525
1650	19084	96507
1651	19094	96488
1652	19104	96467
1653	19114	96451
1654	19123	96426
1655	19134	96409
1656	19144	96391
1657	19154	96375
1658	19165	96359
1659	19175	96338
1660	19184	96315
1661	19196	96305
1662	19211	96312
1663	19222	96297
1664	19232	96277
1665	19242	96258
1666	19253	96244
